ID,Title,Severity,CWE,Component,File,Line,Evidence,ExploitScenario,Remediation,Owner,Effort,PhaseGate,Status
CQ-001,ThresholdConfig type missing after refactor,MEDIUM,CWE-0,Frontend,5 files in operations/,-,TS2304 Cannot find name ThresholdConfig,Build fails blocking deployment,Add type import. Verified frontend build PASS in CI Run #21,Frontend,30m,P0 Blocking,CI_VERIFIED
CQ-002,AssetSignalConfig type missing,MEDIUM,CWE-0,Frontend,KeySignalsCard.tsx,6,TS2304 Cannot find name,Component fails to compile,Import from hooks. Verified frontend build PASS in CI Run #21,Frontend,15m,P0 Blocking,CI_VERIFIED
CQ-003,Implicit any types in AssetConditionView,MEDIUM,CWE-0,Frontend,AssetConditionView.tsx,28-30,TS7006 Parameter implicitly has any,Type safety lost for signal mappings,Add explicit type annotations. Verified frontend build PASS in CI Run #21,Frontend,15m,P0 Blocking,CI_VERIFIED
CQ-004,Untracked temp files in working tree,LOW,CWE-0,Repo,18 files in tools/ + edge-v2/scripts/,-,git status shows ?? files,Cluttered repo reduces maintainability,Remove or gitignore temp files. Coder discipline: never commit debug scripts,PM,15m,P2,OPEN
CQ-005,TODO in production path,LOW,CWE-0,Edge v2,modbus/connector.py,178,TODO feed to processing pipeline,Incomplete feature may cause silent data loss,Implement or remove TODO,Edge v2,2h,P2,OPEN
CQ-006,Dual config paths in Edge v2 container,MEDIUM,CWE-0,Edge v2 Config,/app/config/ vs /app/agent/config/,-,Config read from /app/config/ but we patched /app/agent/config/,Configuration drift between expected and actual path,Standardize to single config path. Document in code,Edge v2,1h,P2,OPEN
DRIFT-001,VPS git on unrelated commit,HIGH,CWE-0,VPS,/opt/plantos,-,VPS HEAD=692f93c vs source=ae8b611,Cannot reproduce runtime state from source,Docker image build and deployment not traceable to git,Reset VPS repo to main. Build from HEAD,DevOps,P1,OPEN
DRIFT-002,Edge v2 image 9 days stale,HIGH,CWE-0,Edge v2 Docker,plantos-edge-v2:patched,-,Built 2026-07-13 running with docker cp hotfixes,Image not reproducible. Config changes lost on restart,Rebuild image from main commit ae8b611,Rebuild container,DevOps,P1,OPEN
NET-001,Simulator port 9998 public,HIGH,CWE-200,VPS,port 9998,-,ss shows 0.0.0.0:9998,HTTP simulator accessible from internet,Killed on VPS. Verified not listening,DevOps,15m,P1,CI_VERIFIED
NET-002,Test server port 9999 public,HIGH,CWE-200,VPS,port 9999,-,ss shows 0.0.0.0:9999,Test HTTP server exposed to internet,Killed on VPS. Verified not listening,DevOps,15m,P1,CI_VERIFIED
SEC-012,API key has no identity or endpoint scopes,HIGH,CWE-287,Backend Auth,auth middleware,-,API key grants full access without principal mapping,Stolen API key grants unrestricted system access,Add service identity principal scope and per-endpoint authorization,Backend,4h,P1,OPEN
SEC-013,JWT refresh does not preserve role,HIGH,CWE-269,Backend Auth,middleware/auth.py,44,create_access_token dropped role from payload,Admin session silently downgrades to operator after token refresh,Pass role to create_access_token. Verified in CI Run #21,Backend,15m,P0,CI_VERIFIED
SEC-014,Credential material mixed with operational Edge config,HIGH,CWE-312,Edge v2 Config,config.edge-v2.yaml,-,Passwords and session secrets stored in same YAML as operational config,Single file exposure leaks both credentials and system topology,Separate secrets from config. Mount secrets as env vars or files,Edge v2,2h,P1,OPEN
SEC-015,Shared API key embedded in frontend JavaScript,CRITICAL,CWE-798,Frontend,frontend/src/lib/api.ts,13,headers has hardcoded X-API-Key,Any visitor to PlantOS UI can extract the shared API key from browser devtools,Remove API key fallback. Browser authenticates only as user. Verified in CI Run #21,Frontend,15m,P0,CI_VERIFIED
CQ-008,require_admin function not defined,CRITICAL,CWE-0,Backend Auth,middleware/auth.py,-,Imported by routers but function did not exist,Users and edge_users routers crash on import,Create require_admin FastAPI dependency. Verified in CI Run #21,Backend,15m,P0,CI_VERIFIED
DEVOPS-001,No mandatory CI status checks,CRITICAL,CWE-0,CI/CD,repository,-,No GitHub Actions workflow enforces build/test/scan gates,PRs can merge with broken builds or exposed secrets,phase8-quality-gate.yml with 9 blocking + 1 advisory jobs. ALL GREEN CI Run #21,DevOps,2h,P0,CI_VERIFIED
DEVOPS-002,Edge tests suppressed failures with || true,CRITICAL,CWE-0,CI/CD,.github/workflows/,-,Workflow used pytest ... || true in edge-tests job,Absorbed edge test failures silently,Removed || true. Verified 111 tests PASS in CI Run #21,DevOps,30m,P0,CI_VERIFIED
DEVOPS-003,Backend security tests ran with DEBUG bypass,CRITICAL,CWE-0,CI/CD,test_auth_security.py,-,Tests depended on DEBUG=true to skip auth hardening,Auth bypass in tests masked production security failures,test_auth_security.py with DEBUG=false. 9 tests PASS in CI Run #21,Backend,30m,P0,CI_VERIFIED
TEST-001,Contract and measurement tests excluded from CI blocking gate,CRITICAL,CWE-0,CI/CD,phase8-quality-gate.yml,-,Contracts apply/preview/validate and measurement API tests not in CI,Contract acceptance gate could silently break,Added to backend-postgres-integration. 32+5 PASS in CI Run #21,Backend,30m,P0,CI_VERIFIED
FORMULA-001,Formula AST validator accepted unsupported Python nodes,HIGH,CWE-0,Backend,formulas/engine.py,-,ast.Dict ast.List ast.JoinedStr + keyword args not rejected; no generic catch-all,Malicious formula code could be injected,Added visit_Dict visit_List visit_JoinedStr + keyword arg rejection + generic catch-all. 26 tests PASS no xfail CI Run #21,Backend,1h,P0,CI_VERIFIED
